epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1144.24,0.33928,0.28533,0.80729,0,0,0,0,0,0,0,0.0009308,0.0009308,0.0009308
56,1168,0.33498,0.28028,0.79894,0,0,0,0,0,0,0,0.000911,0.000911,0.000911
57,1191.15,0.32494,0.26358,0.79705,0,0,0,0,0,0,0,0.0008912,0.0008912,0.0008912
58,1211.56,0.33649,0.27843,0.79344,0,0,0,0,0,0,0,0.0008714,0.0008714,0.0008714
59,1230.08,0.33012,0.27366,0.79761,0,0,0,0,0,0,0,0.0008516,0.0008516,0.0008516
60,1252.42,0.31451,0.24541,0.79762,0,0,0,0,0,0,0,0.0008318,0.0008318,0.0008318
61,1270.42,0.31574,0.25584,0.80379,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
62,1292.14,0.31571,0.26304,0.8098,0,0,0,0,0,0,0,0.0007922,0.0007922,0.0007922
63,1313.07,0.32334,0.25057,0.79779,0,0,0,0,0,0,0,0.0007724,0.0007724,0.0007724
64,1332.98,0.3029,0.25767,0.79098,0,0,0,0,0,0,0,0.0007526,0.0007526,0.0007526
65,1355.01,0.31346,0.26156,0.79944,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
66,1373.69,0.29518,0.2423,0.786,0,0,0,0,0,0,0,0.000713,0.000713,0.000713
67,1394.1,0.31574,0.25376,0.80432,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
68,1412.37,0.29579,0.24501,0.78907,0,0,0,0,0,0,0,0.0006734,0.0006734,0.0006734
69,1431.17,0.30302,0.26036,0.79312,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
70,1450.01,0.30091,0.24832,0.80008,0,0,0,0,0,0,0,0.0006338,0.0006338,0.0006338
71,1470.64,0.29961,0.25008,0.79302,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
72,1489.41,0.29307,0.2435,0.79505,0,0,0,0,0,0,0,0.0005942,0.0005942,0.0005942
73,1508.99,0.28075,0.24368,0.78986,0,0,0,0,0,0,0,0.0005744,0.0005744,0.0005744
74,1528.57,0.29159,0.2455,0.789,0,0,0,0,0,0,0,0.0005546,0.0005546,0.0005546
75,1546.62,0.28661,0.252,0.78401,0,0,0,0,0,0,0,0.0005348,0.0005348,0.0005348
76,1565.29,0.27322,0.23778,0.7856,0,0,0,0,0,0,0,0.000515,0.000515,0.000515
77,1583.26,0.27838,0.22741,0.78215,0,0,0,0,0,0,0,0.0004952,0.0004952,0.0004952
78,1601.89,0.27341,0.23275,0.79065,0,0,0,0,0,0,0,0.0004754,0.0004754,0.0004754
79,1619.65,0.28644,0.22902,0.7827,0,0,0,0,0,0,0,0.0004556,0.0004556,0.0004556
80,1637.32,0.2766,0.22524,0.79867,0,0,0,0,0,0,0,0.0004358,0.0004358,0.0004358
81,1658.11,0.27175,0.21525,0.78883,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
82,1675.98,0.27974,0.21599,0.7926,0,0,0,0,0,0,0,0.0003962,0.0003962,0.0003962
83,1695.81,0.27229,0.21276,0.79223,0,0,0,0,0,0,0,0.0003764,0.0003764,0.0003764
84,1714.51,0.26536,0.21173,0.79536,0,0,0,0,0,0,0,0.0003566,0.0003566,0.0003566
85,1732.26,0.2607,0.21671,0.79324,0,0,0,0,0,0,0,0.0003368,0.0003368,0.0003368
86,1754.58,0.26791,0.21283,0.78883,0,0,0,0,0,0,0,0.000317,0.000317,0.000317
87,1773.67,0.25243,0.20697,0.78618,0,0,0,0,0,0,0,0.0002972,0.0002972,0.0002972
88,1792.18,0.25293,0.1966,0.78239,0,0,0,0,0,0,0,0.0002774,0.0002774,0.0002774
89,1811.56,0.25972,0.2125,0.78114,0,0,0,0,0,0,0,0.0002576,0.0002576,0.0002576
90,1831.13,0.24547,0.20179,0.78415,0,0,0,0,0,0,0,0.0002378,0.0002378,0.0002378
91,1854.71,0.22195,0.19081,0.77989,0,0,0,0,0,0,0,0.000218,0.000218,0.000218
92,1873.03,0.22763,0.18504,0.7852,0,0,0,0,0,0,0,0.0001982,0.0001982,0.0001982
93,1892.14,0.23035,0.18954,0.77952,0,0,0,0,0,0,0,0.0001784,0.0001784,0.0001784
94,1910.67,0.23036,0.18079,0.77917,0,0,0,0,0,0,0,0.0001586,0.0001586,0.0001586
95,1928.39,0.21985,0.18398,0.77892,0,0,0,0,0,0,0,0.0001388,0.0001388,0.0001388
96,1947.22,0.22852,0.18283,0.78047,0,0,0,0,0,0,0,0.000119,0.000119,0.000119
97,1965.71,0.22564,0.18148,0.7804,0,0,0,0,0,0,0,9.92e-05,9.92e-05,9.92e-05
98,1988.1,0.21739,0.16433,0.77561,0,0,0,0,0,0,0,7.94e-05,7.94e-05,7.94e-05
99,2007.74,0.2014,0.16521,0.77136,0,0,0,0,0,0,0,5.96e-05,5.96e-05,5.96e-05
100,2041.73,0.20841,0.16959,0.77672,0.99096,0.74573,0.83214,0.82587,0.1644,0.1388,0.76715,3.98e-05,3.98e-05,3.98e-05
